machine,lat,lon,indoor,floor,heading
LONB-01-BWAY01,51.512772344503013,-0.091198986816446,swallow_lon_wallbrooksquare,5,157.5
LONB-01-BWAY02,51.512728152110050,-0.091395342139420,swallow_lon_wallbrooksquare,5,122.5
LONB-01-BWAY03,51.512178620625015,-0.091946210202278,swallow_lon_wallbrooksquare,5,45
LONB-02-BWAY01,51.5127411,-0.09117953059,swallow_lon_wallbrooksquare,6,157.5
LONB-02-BWAY02,51.51269605,-0.09136632198,swallow_lon_wallbrooksquare,6,157.5
LONB-02-BWAY03,51.512382331336973,-0.091876638801215,swallow_lon_wallbrooksquare,6,225
LONB-02-BWAY04,51.512342246281754,-0.091796619337661,swallow_lon_wallbrooksquare,6,225
LONB-02-BWAY05,51.512137999474035,-0.091872779532777,swallow_lon_wallbrooksquare,6,22.5
LONB-02-BWAY06,51.512601502355125,-0.091194853303373,swallow_lon_wallbrooksquare,6,202.5
LONB-03-BWAY01,51.5127411,-0.09117953059,swallow_lon_wallbrooksquare,7,157.5
LONB-03-BWAY02,51.51269605,-0.09136632198,swallow_lon_wallbrooksquare,7,157.5
LONB-03-BWAY03,51.5125527,-0.0912564,swallow_lon_wallbrooksquare,7,90.0
LONB-04-BWAY01,51.5127411,-0.09117953059,swallow_lon_wallbrooksquare,8,157.5
LONB-04-BWAY02,51.51269605,-0.09136632198,swallow_lon_wallbrooksquare,8,157.5
LONB-04-BWAY03,51.5125346,-0.0911228,swallow_lon_wallbrooksquare,8,332.5
LONB-05-BWAY01,51.5127411,-0.09117953059,swallow_lon_wallbrooksquare,9,157.5
LONB-05-BWAY02,51.51269605,-0.09136632198,swallow_lon_wallbrooksquare,9,157.5
LONB-05-BWAY03,51.5126171,-0.0911639,swallow_lon_wallbrooksquare,9,210.0
LONB-06-BWAY01,51.51275357,-0.09127063034,swallow_lon_wallbrooksquare,10,157.5
LONB-06-BWAY02,51.51274347,-0.09131251182,swallow_lon_wallbrooksquare,10,157.5
LONB-07-BWAY01,51.51275894,-0.09129806252,swallow_lon_wallbrooksquare,11,157.5
LONB-08-BWAY01,51.51275894,-0.09129806252,swallow_lon_wallbrooksquare,12,157.5
LONB-08-BWAY02,51.512581256525543,-0.091149199615391,swallow_lon_wallbrooksquare,12,225
